example_id                                                           | status  | run_time        |
./spec/controllers/spree/base_controller_spec.rb[1:1:1:2:1]          | passed  | 0.1045 seconds  |
./spec/controllers/spree/base_controller_spec.rb[1:1:2:1:1]          | passed  | 0.93629 seconds |
./spec/controllers/spree/base_controller_spec.rb[1:1:2:2:1]          | passed  | 1.64 seconds    |
./spec/controllers/taxons_controller_spec.rb[1:1:1:1]                | passed  | 2.95 seconds    |
./spec/controllers/taxons_controller_spec.rb[1:1:2:1]                | passed  | 5.91 seconds    |
./spec/controllers/taxons_controller_spec.rb[1:1:3:1]                | passed  | 0.85864 seconds |
./spec/controllers/user_passwords_controller_spec.rb[1:1:1:1]        | passed  | 0.4767 seconds  |
./spec/controllers/user_passwords_controller_spec.rb[1:1:1:2]        | passed  | 0.09858 seconds |
./spec/controllers/user_passwords_controller_spec.rb[1:1:2:1]        | passed  | 0.26321 seconds |
./spec/controllers/user_passwords_controller_spec.rb[1:2:1:1]        | passed  | 0.09816 seconds |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:1]    | passed  | 2.42 seconds    |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:2]    | passed  | 0.33379 seconds |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:3]    | passed  | 0.45198 seconds |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:4]    | passed  | 0.77593 seconds |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:5]    | passed  | 3.27 seconds    |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:6:1]  | passed  | 6.34 seconds    |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:6:2]  | passed  | 6.95 seconds    |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:6:3]  | passed  | 14.43 seconds   |
./spec/controllers/user_registrations_controller_spec.rb[1:1:2:1]    | passed  | 0.76553 seconds |
./spec/controllers/user_registrations_controller_spec.rb[1:1:2:2]    | passed  | 0.11496 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:1:1]       | passed  | 1.39 seconds    |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:1:2]       | passed  | 3.54 seconds    |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:1:3]       | passed  | 0.97924 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:1:4]       | passed  | 0.20704 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:1:5]       | passed  | 3.01 seconds    |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:2:1]       | passed  | 0.26654 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:3:1]       | passed  | 2.46 seconds    |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:1:1]       | passed  | 0.57259 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:2:1]       | passed  | 0.94344 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:2:1]           | passed  | 1.13 seconds    |
./spec/controllers/users_controller_spec.rb[1:1:1]                   | passed  | 0.43721 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]                   | passed  | 2.52 seconds    |
./spec/controllers/users_controller_spec.rb[1:3:1:1:1]               | passed  | 0.19782 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:2]               | passed  | 0.18566 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:3]               | passed  | 0.30537 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2:1]               | passed  | 1.13 seconds    |
./spec/controllers/users_controller_spec.rb[1:3:1:3:1:1]             | passed  | 0.59247 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:2:1]             | passed  | 0.13904 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2]                   | passed  | 4.67 seconds    |
./spec/helpers/checkout_helper_spec.rb[1:1:1]                        | passed  | 0.20738 seconds |
./spec/helpers/checkout_helper_spec.rb[1:1:2]                        | passed  | 0.09644 seconds |
./spec/helpers/demand_helper_spec.rb[1:1:1]                          | passed  | 0.05678 seconds |
./spec/helpers/demand_helper_spec.rb[1:1:2]                          | passed  | 0.42167 seconds |
./spec/helpers/demand_helper_spec.rb[1:1:3]                          | passed  | 0.01672 seconds |
./spec/helpers/demand_helper_spec.rb[1:1:4]                          | passed  | 0.01602 seconds |
./spec/helpers/layout_helper_spec.rb[1:1]                            | passed  | 1.54 seconds    |
./spec/helpers/layout_helper_spec.rb[1:2]                            | passed  | 0.31715 seconds |
./spec/helpers/layout_helper_spec.rb[1:3]                            | passed  | 0.7759 seconds  |
